x1,x2,x3,x4,x5,x6,x7,x8
28.0,140.0,0.7,334.8,182.29848,24.401025178572436,4.740886577435895,5.090228544201816
28.0,140.0,0.7,372.0,179.59032,24.812107620773062,4.740795177035896,5.090228544201816
28.0,140.0,0.7,409.2,176.88216000000003,25.22180198426073,4.740703776635895,5.090228544201816
28.0,140.0,0.7,446.4,174.174,25.628838606672083,4.740612376235895,5.090228544201816
28.0,140.0,0.7,483.6,171.46584000000001,26.03237298240768,4.740520975835896,5.090228544201816
28.0,140.0,0.7,520.8,168.75768,26.43163001408938,4.740429575435895,5.090228544201816
28.0,140.0,0.7,558.0,166.04952000000003,26.825896497270595,4.740338175035896,5.090228544201816
28.0,140.0,0.8,0.0,206.67192000000003,28.125789251407983,4.741709181035896,5.090228544201816
28.0,140.0,0.8,37.2,203.96376,27.76301128853347,4.741617780635895,5.090228544201816
28.0,140.0,0.8,74.4,201.2556,27.45384851704366,4.7415263802358965,5.090228544201816
28.0,140.0,0.8,111.6,198.54744,27.18256295124653,4.741434979835896,5.090228544201816
28.0,140.0,0.8,148.8,195.83928,26.93971259745178,4.741343579435896,5.090228544201816
28.0,140.0,0.8,186.0,193.13112,26.720726703771515,4.741252179035897,5.090228544201816
28.0,140.0,0.8,223.2,190.42296,26.52224484331486,4.741160778635896,5.090228544201816
28.0,140.0,0.8,260.4,187.71480000000003,26.340997465681916,4.7410693782358955,5.090228544201816
28.0,140.0,0.8,297.6,185.00664,26.171825841944766,4.740977977835895,5.090228544201816
28.0,140.0,0.8,334.8,182.29848,26.531045512534934,4.740886577435895,5.090228544201816
28.0,140.0,0.8,372.0,179.59032,26.99192668798556,4.740795177035896,5.090228544201816
28.0,140.0,0.8,409.2,176.88216000000003,27.45141978472323,4.740703776635895,5.090228544201816
28.0,140.0,0.8,446.4,174.174,27.908255140384583,4.740612376235895,5.090228544201816
28.0,140.0,0.8,483.6,171.46584000000001,28.361588249370183,4.740520975835896,5.090228544201816
28.0,140.0,0.8,520.8,168.75768,28.810644014301875,4.740429575435895,5.090228544201816
28.0,140.0,0.8,558.0,166.04952000000003,29.25470923073309,4.740338175035896,5.090228544201816
28.0,140.0,0.9,0.0,206.67192000000003,30.214123226407985,4.741709181035896,5.090228544201816
28.0,140.0,0.9,37.2,203.96376,29.85134526353347,4.741617780635895,5.090228544201816
28.0,140.0,0.9,74.4,201.2556,29.54218249204366,4.7415263802358965,5.090228544201816
28.0,140.0,0.9,111.6,198.54744,29.270896926246536,4.741434979835896,5.090228544201816
28.0,140.0,0.9,148.8,195.83928,29.028046572451785,4.741343579435896,5.090228544201816
28.0,140.0,0.9,186.0,193.13112,28.809060678771516,4.741252179035897,5.090228544201816
